iter	MultiClass
0	1.574492779
1	1.541189008
2	1.515268354
3	1.489919065
4	1.464714625
5	1.445669854
6	1.426739275
7	1.410601877
8	1.393055503
9	1.377380934
10	1.365848012
11	1.354014605
12	1.341940247
13	1.331100739
14	1.320283456
15	1.311268088
16	1.30035169
17	1.292207767
18	1.282498566
19	1.274042964
20	1.266662983
21	1.260609843
22	1.254295772
23	1.248004591
24	1.240956514
25	1.235213276
26	1.228513242
27	1.222293059
28	1.217515568
29	1.213103996
30	1.206931673
31	1.201120787
32	1.195477175
33	1.19063113
34	1.185675158
35	1.180903075
36	1.176922283
37	1.172455473
38	1.168430378
39	1.163939608
40	1.160537817
41	1.157780558
42	1.154343249
43	1.150502092
44	1.147192993
45	1.143848497
46	1.140455687
47	1.13721091
48	1.132890607
49	1.128695671
50	1.125374896
51	1.121245437
52	1.117778365
53	1.113934282
54	1.110182961
55	1.106648406
56	1.103825542
57	1.100025159
58	1.095967705
59	1.092715418
60	1.089649817
61	1.08638713
62	1.083842177
63	1.080853078
64	1.077626402
65	1.074290311
66	1.071326284
67	1.068106064
68	1.064468895
69	1.061491893
70	1.058954756
71	1.055631252
72	1.052995895
73	1.050651809
74	1.047782179
75	1.044817675
76	1.042553281
77	1.040697407
78	1.038277497
79	1.03532457
80	1.032953641
81	1.029549566
82	1.027005673
83	1.024665401
84	1.022490396
85	1.019158917
86	1.016066114
87	1.01305206
88	1.00920479
89	1.006528767
90	1.00447505
91	1.001426566
92	0.9997875245
93	0.9970462322
94	0.9935945445
95	0.9909001659
96	0.9893907984
97	0.9858866606
98	0.9838449081
99	0.9811033257
100	0.9781241079
101	0.9754098128
102	0.9730017935
103	0.9699166341
104	0.9684173118
105	0.9658142051
106	0.9629496978
107	0.9605231377
108	0.9584929638
109	0.9552038684
110	0.951730112
111	0.9498112584
112	0.9469482552
113	0.9453259924
114	0.9423700843
115	0.9384360843
116	0.936145701
117	0.9341364543
118	0.9320785522
119	0.9308853856
120	0.9274097179
121	0.925784845
122	0.9233073215
123	0.9211081175
124	0.9173588756
125	0.9153570301
126	0.9112477408
127	0.9089027673
128	0.9059714703
129	0.9039103609
130	0.9016934803
131	0.8986941606
132	0.8952473259
133	0.892301297
134	0.889204319
