iter	Passed	Remaining
0	44	44607
1	84	41964
2	126	42129
3	169	42130
4	231	46092
5	274	45422
6	315	44751
7	360	44738
8	400	44088
9	442	43758
10	480	43194
11	527	43415
12	571	43392
13	609	42946
14	651	42775
15	691	42533
16	731	42298
17	771	42094
18	811	41904
19	854	41851
20	900	41970
21	943	41944
22	987	41961
23	1030	41918
24	1072	41815
25	1109	41567
26	1149	41425
27	1189	41309
28	1230	41185
29	1274	41221
30	1314	41098
31	1352	40902
32	1390	40750
33	1429	40628
34	1472	40586
35	1511	40472
36	1550	40342
37	1590	40263
38	1628	40127
39	1672	40134
40	1712	40058
41	1751	39959
42	1790	39859
43	1831	39786
44	1873	39752
45	1916	39750
46	1958	39702
47	1999	39661
48	2043	39662
49	2085	39627
50	2125	39549
51	2166	39488
52	2206	39432
53	2245	39332
54	2284	39246
55	2322	39159
56	2362	39088
57	2402	39023
58	2443	38969
59	2484	38930
60	2523	38838
61	2563	38778
62	2602	38703
63	2643	38663
64	2681	38570
65	2719	38491
66	2757	38403
67	2797	38335
68	2836	38270
69	2873	38171
70	2908	38058
71	2945	37960
72	2984	37901
73	3024	37845
74	3064	37796
75	3105	37758
76	3147	37729
77	3184	37646
78	3224	37586
79	3269	37604
80	3308	37540
81	3348	37481
82	3386	37416
83	3424	37342
84	3466	37312
85	3510	37305
86	3549	37252
87	3590	37213
88	3631	37167
89	3671	37122
90	3713	37091
91	3754	37055
92	3792	36987
93	3831	36933
94	3869	36860
95	3908	36809
96	3950	36772
97	3989	36723
98	4029	36672
99	4068	36613
100	4109	36578
101	4150	36538
102	4193	36523
103	4234	36479
104	4273	36426
105	4314	36387
106	4355	36347
107	4396	36313
108	4437	36276
109	4479	36244
110	4520	36203
111	4562	36170
112	4602	36129
113	4644	36093
114	4687	36069
115	4728	36031
116	4768	35986
117	4808	35939
118	4848	35892
119	4886	35835
120	4926	35788
121	4967	35747
122	5011	35732
123	5049	35674
124	5090	35630
125	5129	35577
126	5168	35531
127	5209	35491
128	5255	35486
129	5294	35429
130	5333	35381
131	5374	35340
132	5415	35300
133	5456	35263
134	5496	35219
135	5535	35165
136	5575	35119
137	5614	35073
138	5657	35043
139	5697	34998
140	5740	34972
141	5780	34927
142	5818	34872
143	5856	34815
144	5897	34774
145	5937	34729
146	5975	34672
147	6016	34633
148	6055	34583
149	6095	34540
150	6134	34491
151	6175	34451
152	6215	34406
153	6257	34372
154	6298	34338
155	6346	34337
156	6388	34301
157	6429	34265
158	6470	34223
159	6514	34198
160	6552	34148
161	6595	34115
162	6635	34073
163	6675	34029
164	6717	33992
165	6756	33947
166	6800	33923
167	6841	33880
168	6883	33849
169	6927	33821
170	6970	33792
171	7012	33755
172	7053	33717
173	7099	33701
174	7139	33659
175	7180	33618
176	7222	33584
177	7263	33543
178	7309	33525
179	7349	33481
180	7394	33459
181	7436	33425
182	7477	33381
183	7518	33343
184	7560	33305
185	7601	33265
186	7642	33225
187	7683	33187
188	7724	33147
189	7768	33118
190	7818	33116
191	7865	33099
192	7905	33056
193	7945	33011
194	7992	32993
195	8033	32954
196	8073	32907
197	8113	32861
198	8152	32816
199	8195	32783
200	8237	32744
201	8278	32702
202	8318	32658
203	8360	32623
204	8401	32580
205	8445	32552
206	8489	32521
207	8549	32552
208	8596	32536
209	8638	32496
210	8681	32464
211	8723	32423
212	8766	32391
213	8807	32349
214	8849	32310
215	8890	32268
216	8932	32230
217	8972	32185
218	9014	32146
219	9056	32108
220	9097	32067
221	9139	32030
222	9184	32000
223	9228	31971
224	9270	31930
225	9317	31911
226	9360	31876
227	9408	31857
228	9454	31830
229	9499	31802
230	9546	31779
231	9593	31757
232	9636	31723
233	9683	31699
234	9726	31662
235	9768	31622
236	9812	31591
237	9854	31552
238	9894	31506
239	9940	31478
240	9987	31453
241	10033	31427
242	10080	31404
243	10123	31367
244	10174	31354
245	10221	31329
246	10268	31303
247	10322	31301
248	10369	31276
249	10416	31249
250	10465	31229
251	10508	31190
252	10554	31162
253	10599	31129
254	10645	31101
255	10689	31067
256	10736	31040
257	10780	31004
258	10822	30964
259	10867	30929
260	10911	30895
261	10960	30872
262	11006	30843
263	11053	30815
264	11097	30780
265	11139	30737
266	11188	30715
267	11235	30687
268	11281	30657
269	11325	30620
270	11373	30594
271	11418	30560
272	11461	30522
273	11505	30485
274	11547	30442
275	11593	30413
276	11638	30377
277	11695	30375
278	11738	30335
279	11787	30309
280	11836	30287
281	11879	30246
282	11922	30205
283	11965	30166
284	12017	30148
285	12061	30111
286	12104	30070
287	12145	30025
288	12193	29998
289	12241	29970
290	12288	29940
291	12331	29898
292	12374	29859
293	12417	29820
294	12462	29784
295	12504	29740
296	12551	29710
297	12595	29671
298	12641	29638
299	12686	29601
300	12728	29559
301	12778	29534
302	12830	29513
303	12875	29477
304	12920	29441
305	12965	29405
306	13013	29375
307	13059	29341
308	13101	29297
309	13148	29266
310	13191	29224
311	13234	29182
312	13281	29151
313	13323	29108
314	13366	29067
315	13408	29022
316	13449	28976
317	13491	28934
318	13532	28888
319	13571	28840
320	13613	28795
321	13653	28749
322	13694	28702
323	13735	28658
324	13776	28613
325	13816	28565
326	13866	28538
327	13911	28501
328	13950	28451
329	13990	28403
330	14032	28361
331	14070	28310
332	14110	28263
333	14150	28217
334	14193	28176
335	14237	28136
336	14281	28096
337	14324	28055
338	14368	28015
339	14412	27976
340	14454	27933
341	14495	27888
342	14537	27846
343	14580	27803
344	14620	27758
345	14661	27713
346	14701	27665
347	14740	27617
348	14781	27572
349	14824	27531
350	14868	27491
351	14911	27451
352	14958	27416
353	14999	27371
354	15039	27325
355	15086	27291
356	15130	27251
357	15171	27207
358	15214	27164
359	15257	27123
360	15299	27081
361	15345	27045
362	15388	27003
363	15430	26960
364	15469	26913
365	15511	26868
366	15554	26827
367	15599	26789
368	15640	26746
369	15682	26703
370	15721	26655
371	15763	26612
372	15805	26568
373	15847	26524
374	15890	26483
375	15930	26437
376	15970	26392
377	16013	26349
378	16055	26307
379	16097	26264
380	16139	26221
381	16182	26180
382	16226	26141
383	16276	26109
384	16329	26085
385	16379	26054
386	16421	26011
387	16467	25975
388	16512	25936
389	16559	25900
390	16601	25858
391	16647	25820
392	16693	25783
393	16738	25744
394	16780	25702
395	16827	25666
396	16871	25625
397	16912	25580
398	16951	25533
399	16990	25485
400	17030	25439
401	17069	25392
402	17114	25353
403	17154	25307
404	17193	25260
405	17238	25221
406	17281	25178
407	17319	25130
408	17359	25084
409	17397	25035
410	17436	24987
411	17477	24943
412	17517	24897
413	17560	24856
414	17602	24812
415	17644	24770
416	17686	24727
417	17730	24686
418	17777	24650
419	17822	24611
420	17864	24568
421	17905	24524
422	17945	24478
423	17987	24436
424	18029	24392
425	18070	24348
426	18132	24332
427	18194	24315
428	18241	24279
429	18286	24240
430	18336	24207
431	18396	24187
432	18436	24142
433	18481	24103
434	18526	24063
435	18568	24019
436	18609	23974
437	18651	23931
438	18696	23891
439	18738	23848
440	18784	23810
441	18825	23766
442	18867	23722
443	18907	23677
444	18946	23629
445	18992	23591
446	19034	23548
447	19078	23507
448	19119	23463
449	19163	23421
450	19207	23381
451	19251	23340
452	19323	23333
453	19372	23297
454	19414	23254
455	19458	23214
456	19500	23170
457	19544	23129
458	19586	23085
459	19629	23042
460	19678	23007
461	19730	22976
462	19776	22936
463	19825	22902
464	19871	22862
465	19918	22824
466	19963	22784
467	20009	22746
468	20059	22711
469	20106	22673
470	20160	22642
471	20200	22597
472	20241	22552
473	20283	22509
474	20323	22463
475	20363	22417
476	20407	22375
477	20453	22335
478	20492	22289
479	20540	22252
480	20580	22206
481	20624	22164
482	20665	22120
483	20707	22077
484	20751	22034
485	20794	21992
486	20836	21948
487	20877	21904
488	20918	21860
489	20957	21813
490	21000	21770
491	21040	21724
492	21082	21681
493	21122	21635
494	21163	21590
495	21204	21546
496	21247	21503
497	21292	21463
498	21342	21428
499	21392	21392
500	21438	21353
501	21484	21313
502	21528	21271
503	21571	21228
